Threshold,Number of nodes,Number of edges,Average degree,Average local clustering coefficient,Global clustering coefficient,Density
0.04,1336.0,139766.0,190.41689373297004,0.7421157506172597,0.837267679667101,0.15672699544730764
0.08,1318.0,128403.0,174.93596730245233,0.7270143565834167,0.8153623582774889,0.14794625666693167
0.12,1311.0,119921.0,163.3801089918256,0.7225778551788247,0.8020977231129537,0.1396533151664425
0.16,1301.0,114570.0,156.0899182561308,0.718732525160684,0.7971093132801451,0.1354815822148643
0.2,1297.0,110324.0,150.30517711171663,0.7132223343665645,0.7934784872740637,0.1312668360984989
0.24,1288.0,106653.0,145.30381471389646,0.7099304244719492,0.789109331680396,0.12867929172276998
0.28,1285.0,102928.0,140.22888283378745,0.7062842479591206,0.7841157040651116,0.12476574905754148
0.32,1279.0,99865.0,136.0558583106267,0.7038028385123598,0.7812612152416388,0.1221917553448569
0.36,1278.0,97152.0,132.35967302452315,0.7018372036467695,0.7806699358049582,0.11905838581475803
0.4,1272.0,94569.0,128.84059945504086,0.6928181634445161,0.7797714204165352,0.11698929679497647
0.44,1269.0,92401.0,125.88692098092643,0.6920213698848569,0.7784421072106096,0.11484862270149873
0.48,1266.0,90832.0,123.74931880108991,0.6865097364806243,0.7760205831236625,0.11343436424829377
0.52,1263.0,89161.0,121.47275204359673,0.6856494677316978,0.7736943066509993,0.1118773629059681
0.56,1259.0,87090.0,118.65122615803814,0.6838636538938515,0.770749250444104,0.10997447945539335
0.6,1257.0,85125.0,115.97411444141689,0.6793201140773949,0.767785271818368,0.10783561102412477
0.64,1249.0,82896.0,112.93732970027249,0.6758817061510337,0.7649258948721432,0.10636201268707274
0.68,1243.0,80978.0,110.3242506811989,0.6706952099418215,0.762320372579025,0.10490696369880671
0.72,1241.0,79011.0,107.64441416893733,0.6634543887788195,0.7600853570011917,0.10268903849652986
0.76,1225.0,76496.0,104.21798365122616,0.6493690016764763,0.7591141657543286,0.10203548085901028
0.8,1193.0,73351.0,99.933242506812,0.6335362496319296,0.7586681660359859,0.10316190079715566
0.84,1175.0,70634.0,96.2316076294278,0.6293114968773486,0.7586948579884187,0.10240893109572656
0.88,1166.0,67907.0,92.51634877384195,0.6272633567191152,0.758449332472742,0.09998159585980462
0.92,1159.0,64840.0,88.33787465940054,0.6251667303876113,0.75874054017254,0.09662310877848661
0.96,1150.0,58843.0,80.16757493188011,0.6154241404216524,0.7601506112983321,0.08906497143073372
1.0,397.0,521.0,0.7098092643051771,0.12896567744034068,0.4919908466819222,0.006627992774088492
